QUERY: 	I got covid
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags
17	12406	Getting the COVID vaccine tomorrow. Wish me luck 😂	R_Barnes407	Wed Dec 16 22:16:46 +0000 2020	https://twitter.com/twitter/statuses/1339333675129974784	0	50	[]
18	9300	First it was Covid, then 5G and now you're against the vaccine?🤦‍♂️ https://t.co/ZEqOX5Rpv2	Farouq_Siyi	Wed Dec 16 22:13:35 +0000 2020	https://twitter.com/twitter/statuses/1339332875125186560	0	1	[]
19	13652	Normal vaccines are boring, I want my covid antibodies in the form of a gold ball sized suppository. #butt #vaccine #treasurehole	gluten_yung	Wed Dec 16 22:18:04 +0000 2020	https://twitter.com/twitter/statuses/1339334001895616516	0	0	[{'text': 'butt', 'indices': [101, 106]}, {'text': 'vaccine', 'indices': [107, 115]}, {'text': 'treasurehole', 'indices': [116, 129]}]
20	4354	📹 WATCH PLEASE. PROTECT YOUR FAMILIES. #vaccines #vaccine #coronavirusvaccine #coronavirus #covid_19 #covid #fakevaccine #fuckyourvaccine https://t.co/elOqFYos9X https://t.co/UblU0eeyls	spazecraft	Mon Dec 07 14:55:07 +0000 2020	https://twitter.com/twitter/statuses/1335961037997285377	0	0	[{'text': 'vaccines', 'indices': [39, 48]}, {'text': 'vaccine', 'indices': [49, 57]}, {'text': 'coronavirusvaccine', 'indices': [58, 77]}, {'text': 'coronavirus', 'indices': [78, 90]}, {'text': 'covid_19', 'indices': [91, 100]}, {'text': 'covid', 'indices': [101, 107]}, {'text': 'fakevaccine', 'indices': [108, 120]}, {'text': 'fuckyourvaccine', 'indices': [121, 137]}]
QUERY: 	country with more cases
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags
 
1	6448	One million cases in 5  days of Covid in the USA. This is so bad and it reflects on our country the irresponsibility of others who do not follow CDC Guidelines. What the hell  is  wrong with our country! We must take care of our country. One Nation under God! #WearAMask  America!	LoisFlanary	Mon Dec 07 16:04:47 +0000 2020	https://twitter.com/twitter/statuses/1335978570066354179	0	0	[{'text': 'WearAMask', 'indices': [260, 270]}]
2	16900	#California is reporting more #coronavirus cases than most countries in the world - The Washington Post https://t.co/dMVRzJhZMx	DEDMOJO	Thu Dec 17 11:41:47 +0000 2020	https://twitter.com/twitter/statuses/1339536265293676544	0	0	[{'text': 'California', 'indices': [0, 11]}, {'text': 'coronavirus', 'indices': [30, 42]}]
3	16294	"#California, the latest epicenter, is reporting more #coronavirus cases than most countries in the world 😢

https://t.co/5e3rcnG2W1"	FrankieFante66	Thu Dec 17 11:11:39 +0000 2020	https://twitter.com/twitter/statuses/1339528679521599493	0	0	[{'text': 'California', 'indices': [0, 11]}, {'text': 'coronavirus', 'indices': [53, 65]}]
4	12573	If Biden did it would NOT bring the country together after more 300K in deaths and millions of cases of the virus https://t.co/4mNB8gRmYE	DoyenneSolace	Wed Dec 16 22:16:55 +0000 2020	https://twitter.com/twitter/statuses/1339333715172929538	0	0	[]
5	2605	"Reported Cases and Deaths by Country, Territory, or Conveyance
The corona virus COVID-19 is affecting 218 countries and territories around the world
#coronavirus 
#CoronaVirusUpdates 
#CoronaVaccine 
#Coronaviruspakistan 
#COVID19 
#COVID 
#COVIDSecondWave 
#Vaccin 
#vaccination https://t.co/RTzzprtHED"	krz2588	Mon Dec 07 13:50:21 +0000 2020	https://twitter.com/twitter/statuses/1335944739976310786	0	0	[{'text': 'coronavirus', 'indices': [149, 161]}, {'text': 'CoronaVirusUpdates', 'indices': [163, 182]}, {'text': 'CoronaVaccine', 'indices': [184, 198]}, {'text': 'Coronaviruspakistan', 'indices': [200, 220]}, {'text': 'COVID19', 'indices': [222, 230]}, {'text': 'COVID', 'indices': [232, 238]}, {'text': 'COVIDSecondWave', 'indices': [240, 256]}, {'text': 'Vaccin', 'indices': [258, 265]}, {'text': 'vaccination', 'indices': [267, 279]}]
6	16682	"#CORONAVIRUS
Update no. 272 on the situation of Covid-19 with 21.763.865 cases in Europe, 1.773.290 cases diagnosed in Spain through a PCR test and 48.596 deaths. 
More countries and regions: https://t.co/GngEkjoe6E"	cdeualmeria	Thu Dec 17 11:30:22 +0000 2020	https://twitter.com/twitter/statuses/1339533392044584962	0	0	[{'text': 'CORONAVIRUS', 'indices': [0, 12]}]
7	17270	"These countries have imposed a #COVID19 lockdown again as cases continue to rise 

#lockdown 

https://t.co/Yscz9SrfQr https://t.co/rHiMwJcZ86"	BiIndia	Thu Dec 17 12:00:01 +0000 2020	https://twitter.com/twitter/statuses/1339540853811900416	0	5	[{'text': 'COVID19', 'indices': [31, 39]}, {'text': 'lockdown', 'indices': [83, 92]}]
8	8938	"#Brazil registered more than 70,000 additional cases of the novel #coronavirus on Wednesday, the nation's health ministry said, pushing the country's total confirmed cases over 7 million.
https://t.co/xCDVv1peCq"	Jerusalem_Post	Wed Dec 16 22:13:12 +0000 2020	https://twitter.com/twitter/statuses/1339332779180482562	1	6	[{'text': 'Brazil', 'indices': [0, 7]}, {'text': 'coronavirus', 'indices': [66, 78]}]
9	1135	"Nepal: With 2 new cases, country’s tally rises to 245. https://t.co/ebAewb4Yf7 

#Coronavirus #nexnewsnetwork #TBM #TheBroadcastMedia"	nexnewsnetwork	Mon Dec 07 12:48:26 +0000 2020	https://twitter.com/twitter/statuses/1335929160951197700	0	0	[{'text': 'Coronavirus', 'indices': [81, 93]}, {'text': 'nexnewsnetwork', 'indices': [94, 109]}, {'text': 'TBM', 'indices': [110, 114]}, {'text': 'TheBroadcastMedia', 'indices': [115, 133]}]
10	19369	California is now reporting more #coronavirus cases than most countries. Yesterday more than 53-thousand new cases were reported, the most statewide by far. Another record, 293 new deaths reported.	LauraGarciaNBC	Thu Dec 17 13:30:00 +0000 2020	https://twitter.com/twitter/statuses/1339563500000178179	4	12	[{'text': 'coronavirus', 'indices': [33, 45]}]
11	14523	"#COVID19 confirmed cases and deaths reported by countries and areas in the @WHO Western Pacific Region over the past 24 hours.

For more info on #coronavirus cases in the Region, go to our dashboard: https://t.co/qQ2L14iMqi https://t.co/a59djo5a7d"	WHOWPRO	Thu Dec 17 09:24:39 +0000 2020	https://twitter.com/twitter/statuses/1339501754686132226	4	14	[{'text': 'COVID19', 'indices': [0, 8]}, {'text': 'coronavirus', 'indices': [145, 157]}]
